RAS STA,Slope,V,Dscour
9155.282,0.0794,7.58,
9050.821,0.057,7.61,
8967.188,0.0882,7.23,
8892.489,0.0836,8.41,
8803.545,0.1196,6.86,
8755.621,0.0986,8.53,
8706.235,0.065,9.03,
8645.023,0.0624,8.67,
8584.788,0.05,8.43,
8512.098,0.1027,7.44,3.230721437
8438.872,0.0762,9.31,
8378.199,0.0652,8.82,0.67734618
8276.369,0.0705,6.8,
8185.049,0.0956,8.78,
8113.222,0.0853,5.58,
8030.669,0.0648,11.69,
7976.642,0.0525,7.61,
7933.748,0.0931,9.57,
7879.044,0.1004,3.69,
7857.898,0.0936,3.7,
7721.175,0.3013,10.6,
7698.744,0.2726,8.18,
7642.13,0.1554,8.78,
7577.071,0.1178,8.26,
7523.845,0.1949,8.35,
7465.057,0.0578,8.76,0.002077127
7417.094,0.1861,8.55,1.550557671
7351.337,0.1079,7.41,1.198945983
7297.371,0.1115,8.67,
7256.569,0.0695,8.19,
7209.781,0.0463,6.91,
7159.904,0.0569,7.27,
7100.844,0.0669,8.77,
7037.787,0.0641,7.87,
6990.21,0.0956,8.28,
6940.527,0.1129,8.62,
6885.239,0.1331,8.33,
6826.534,0.0901,9.2,
6779.264,0.055,7.18,
6721.395,0.1217,9.21,
6680.074,0.1083,9.22,
6634.568,0.0785,8.24,
6613.6,0.072,4.4,
6565.095,0.1168,9.5,
6533.184,0.0591,9.7,
6510.391,0.0844,9.35,
6447.263,0.3662,5.89,
6421.023,0.0941,6.54,
6394.399,0.1127,4.51,
6377.809,0.2561,4.42,3.55183014
6363.542,0.1121,6.46,2.586098094
6330.805,0.2025,10.57,
6324.439,0.1585,9.75,1.083906887
6309.226,0.1455,8.89,
6282.968,0.2226,2.41,
6252.599,0.1864,8.77,
6219.168,0.1658,7.84,
6202.496,0.0779,8.45,
6183.616,0.0892,8.42,
6167.931,0.216,8.64,0.359440035
6150.715,0.0719,4.72,
6090.446,0.0182,2.39,
6087.002,0.0292,3.28,5.113938416
6083.878,0.1131,8.66,
6046.628,0.1054,8.87,
6003.293,0.0816,9.12,
5949.607,0.1249,6.36,
5898.039,0.1124,9.4,
5848.9,0.0945,6.82,
5800.968,0.094,8.22,
5795.008,0.0865,6.54,
5769.7,0.1875,6.88,
5756.687,0.1186,9.38,
5741.424,0.0889,9.48,
5672.958,0.0903,8.55,
5629.047,0.0586,9.01,
5564.678,0.2448,7.35,
5523.221,0.0652,9.88,
5472.893,0.083,9.7,
5430.596,0.0198,8.01,
5408.382,0.0523,5.92,
5395.133,0.0679,7.91,
5287.182,0.0872,8.72,
5258.293,0.0678,8.8,0.990212433
5194.042,0.0905,8.85,
5147.245,0.1849,4.48,
5110.675,0.1436,8.92,
5072.992,0.0983,9.23,
5014.769,0.0958,6.45,
4980.91,0.0805,6.31,1.998092513
4942.27,0.1102,6.29,
4913.201,0.0664,6.55,
4876.135,0.0623,6.5,
4861.773,0.1378,6.16,
4842.193,0.2329,9.25,
4831.408,0.0683,5.14,
4692.019,0.0745,9.5,
4668.61,0.1141,8.2,1.560153846
4632.415,0.0884,7.14,
4578,0.0879,8.55,
4525.573,0.0616,9.43,
4472.724,0.0708,6.94,
4427.368,0.0669,5.44,
4377.128,0.0798,6.4,
4321.383,0.1239,7.78,
4261.893,0.0929,8.32,
4202.927,0.0752,7.74,
4119.574,0.0795,7.31,
4049.892,0.0691,6.06,0.004903212
4006.939,0.0405,7.65,
3956.785,0.0802,7.91,
3911.375,0.1321,7.69,
3883.302,0.0863,9.48,6.334664267
3860.655,0.0956,10.13,0.196690267
3811.194,0.0661,6.23,0.106075918
3775.469,0.0805,7.19,0.934060379
3750.45,0.0341,5.86,2.06063122
3741.887,0.0761,3.93,3.85610691
3708.269,0.0628,11.03,
3686.283,0.1085,9.99,2.710817911
3642.81,0.0597,9.02,1.630212009
3592.4,0.087,8.06,
3540.952,0.1157,7.29,
3492.742,0.139,8.03,
3443.157,0.0433,5.77,
3387.003,0.1362,8.84,
3332.421,0.1444,9.4,
3271.344,0.1436,11.37,
3224.829,0.0291,8.52,
3152.471,0.0966,9.02,
3074.839,0.108,8.99,
3012.613,0.1144,9.44,
2962.183,0.0389,7.33,
2914.314,0.0512,8.62,
2890.078,0.0484,8.77,
2868.567,0.0705,5.52,
2838.606,0.0866,7.06,
2807.649,0.1028,6.23,
2769.999,0.0893,7.13,
2722.585,0.0603,7.05,6.459772629
2654.624,0.0658,8.96,
2615.257,0.0954,8.45,
2564.93,0.0797,8.55,
2513.987,0.0976,8.55,
2473.715,0.0827,3.89,
2374.97,0.1734,5.71,
2356.348,0,4.88,
2335.104,0.059,8.76,
2292.554,0.0422,9.5,
2232.466,0.0497,8.44,
2199.459,0.0905,4.43,
2154.997,0.0908,7.87,
2113.902,0.0802,3.52,
2008.739,0.0631,10.82,
1997.168,0.0904,8.58,
1961.634,0.0987,7.93,1.313006773
1918.692,0.0474,7.23,
1893.622,0.046,7.17,
1851.469,0.0688,8.62,
1804.953,0.0258,3.07,
1779.202,0.0801,3.91,
1721.401,0.074,9.5,
1688.159,0.0551,4.76,
1666.376,0.0476,3.77,
1623.698,0.0788,5.22,
1588.016,0.0658,4.93,
1550.764,0.0765,9.69,
1511.34,0.0841,9.71,
1486.667,0.0217,9.67,
1465.959,0.1367,7,
1458.248,0.036,11.22,
1414.334,0.0487,7.4,
1398.114,0.0489,8.96,7.660544793
1376.442,0.0502,8.43,
1335.611,0.052,7.25,
1279.75,0.0541,8.59,3.173676289
1208.195,0.0795,8.69,
1152.882,0.0874,8.51,
1110.354,0.1034,6.91,
1091.51,0.049,6.81,
1041.538,0.0661,10.46,
1022.613,0.1481,8.04,
966.455,0.078,8.77,
920.2088,0.0505,10.17,
885.529,0.0798,10.08,
845.0002,0.1402,9.95,
809.4067,0.1577,9.64,0.135463186
783.032,0.189,9.84,
746.9471,0.1114,9.43,0.543616364
706.2033,0.0419,4.78,
645.7941,0.0759,3.93,
533.3788,0.0446,10.43,
508.7707,0.0499,5.15,
438.8443,0.058,8.59,
390.9232,0.0653,3.88,
322.8126,0.0527,4.01,
244.2645,0.0621,6.35,
197.2043,0.0876,6.11,
146.7235,0.1713,3.66,
126.3925,0.1499,3.93,
31.0606,,11.78,
